Sindarin	English
Aphado den	follow him
Aphado den	follow her
Aphado den	follow it
Aphado din	follow them
Aphado mhen	follow us
Aphado nin	follow me
Aphado	follow
Avo nandolo	do not come back
Avo nandolo	do not return
Boe achin mened	you must go
Boe achin mened	it is necessary to you to leave
Boe ammen mened	we must go
Boe ammen mened	it is necessary to us to leave
Boe anden mened	you must go
Boe anden mened	it is necessary to you to leave
Boe annin lored	I need to sleep
Boe annin lored	it is necessary for me to sleep
Boe annin postad	I need to rest
Boe annin postad	it is necessary for me to rest
Boe anwen mened	we must go
Boe anwen mened	it is necessary to us to leave
Cenin	I see
Daro	stop
Daro	halt
Den ichíren	I found it
Farathab?	shall we go hunting?
Farathab?	are we willing to hunt?
Farathanc?	shall the two of us go hunting?
Farathanc?	are we willing to hunt?
I echad sí	camp here
I echad sí	the camp is here
Ma tôg?	who is leading?
Ma tôg?	who leads?
Menin anin chaust nîn	I am going to bed
Menin anin chaust nîn	I go to my bed
Meno uin râd	move out of the way
Meno uin râd	go from the path
Na mhan govedib?	where are we meeting?
Na mhan govedib?	at where do we meet?
Na mhan govedimh?	where are we meeting?
Na mhan govedimh?	at where do we meet?
Na mhan govedinc?	where are the two of us meeting?
Na mhan govedinc?	at where do we meet?
Na mhan i chûd?	where is the meeting?
Na mhan i chûd?	at where is the assembly?
Nauthanthen i law mhenathar	I thought they would never leave
Nauthanthen i law mhenathar	I thought that they would not willingly leave
O mhan sa odul?	where did that come from?
Radathon drî i thraw hen ned i postodh	I will find a way through this wilderness while you rest
Radathon drî i thraw hen ned i postog	I will find a way through this wilderness while you rest
Semhidh dhâf am mened	you may go
Semhidh dhâf am mened	you have permission to go
Semhig dhâf am mened	you may go
Semhig dhâf am mened	you have permission to go
Semhimh dhâf am mened?	may we go?
Semhimh dhâf am mened?	do we have permission to go?
Semhin dhâf am mened?	may I go?
Semhin dhâf am mened?	do I have permission to go?
Togathon	I will go first
Togathon	I am willing to lead
Togo	go first
Togo	lead
Tolo na naur	come near the fire
Tolo na naur	come to the fire
Na mhan anírodh mened?	where do you want to go?
Na mhan anírodh mened?	to where do you want to go?
Na mhan anírog mened?	where do you want to go?
Na mhan anírog mened?	to where do you want to go?
Aníromh mened na	we want to go to
Aníromh mened nan’	we want to go to  
Aníron mened na	I want to go to
Aníron mened nan’	I want to go to
Menathab?	shall we go?
Menathab?	are we willing to go?
Avab mened	we will not go
Avab mened	we refuse to go
Menathab	we will go
Menathab	we are willing to go
Menathab	we shall go
Menib hí	let us go now
Menib hí	we go now
Menib	let us go
Menib	we go
Menathanc?	shall you and I go?
Menathanc?	shall we go?
Menathanc?	are we willing to go?
Avanc mened	you and I won't go
Avanc mened	we won't go
Avanc mened	we refuse to go
Menathanc	you and I shall go
Menathanc	we go
Menathanc	we are willing to go
Meninc	let us go
Meninc	we go
Meninc hí	let us go now
Meninc hí	we go now
Na mhan menig?	where will you go?
Na mhan menig?	where do you go?
Na mhan menig?	to where will you go?
Na mhan menig?	to where do you go?
Menin na	I am going to
Menin na	I go to
Menin nan’	I am going to
Menin nan’	I go to
Na mhan menidh?	where will you go?
Na mhan menidh?	where do you go?
Na mhan menidh?	to where will you go?
Na mhan menidh?	to where do you go?
Menimh na	we are going to
Menimh na	we go to
Menimh nan’	we are going to
Menimh nan’	we go to
Na mhan meninc?	where will you and I go?
Na mhan meninc?	where do you and I go?
Na mhan meninc?	where will we go?
Na mhan meninc?	where do we go?
Na mhan meninc?	to where will we go?
Na mhan meninc?	to where do we go?
Meninc na	you and I are going to
Meninc na	we are going to
Meninc na	we go to
Meninc nan’	you and I are going to
Meninc nan’	we are going to
Meninc nan’	we go to
Na mhan menib?	where will we go?
Na mhan menib?	where do we go?
Na mhan menib?	to where will we go?
Na mhan menib?	to where do we go?
Menib na	we are going to
Menib na	we go to
Menib nan’	we are going to
Menib nan’	we go to
Na mhan menimh?	where will we go?
Na mhan menimh?	where do we go?
Na mhan menimh?	to where will we go?
Na mhan menimh?	to where do we go?
Menidh na	you are going to
Menidh na	you go to
Menidh nan’	you are going to
Menidh nan’	you go to
Na mhan mên?	where will he go?
Na mhan mên?	where will she go?
Na mhan mên?	where will it go?
Na mhan mên?	where does he go?
Na mhan mên?	where does she go?
Na mhan mên?	where does it go?
Na mhan mên?	to where will he go?
Na mhan mên?	to where will she go?
Na mhan mên?	to where will it go?
Na mhan mên?	to where does he go?
Na mhan mên?	to where does she go?
Na mhan mên?	to where does it go?
Mên na	he is going to
Mên na	she is going to
Mên na	it is going to
Mên na	he goes to
Mên na	she goes to
Mên na	it goes to
Mên nan’	he is going to
Mên nan’	she is going to
Mên nan’	it is going to
Mên nan’	he goes to
Mên nan’	she goes to
Mên nan’	it goes to
Na mhan menir?	where will they go?
Na mhan menir?	where do they go?
Na mhan menir?	to where will they go?
Na mhan menir?	to where do they go?
Menir na	they are going to
Menir na	they go to
Menir nan’	they are going to
Menir nan’	they go to
Na mhan emhíneg?	where did you go?
Na mhan emhíneg?	to where did you go?
Emhínen na	I went to
Emhínen nan’	I went to
Na mhan emhínedh?	where did you go?
Na mhan emhínedh?	to where did you go?
Emhínemh na	we went to
Emhínemh nan’	we went to
Na mhan emhínenc?	where did the two of us go?
Na mhan emhínenc?	to where did we go?
Na mhan emhínenc?	where did we go?
Emhínenc na	you and I went to
Emhínenc na	we went to
Emhínenc nan’	you and I went to
Emhínenc nan’	we went to
Na mhan emhíneb?	where did we go?
Na mhan emhíneb?	to where did we go?
Emhíneb na	we went to
Emhíneb nan’	we went to
Na mhan emhin?	where did he go?
Na mhan emhin?	where did she go?
Na mhan emhin?	where did it go?
Na mhan emhin?	to where did he go?
Na mhan emhin?	to where did she go?
Na mhan emhin?	to where did it go?
Emhin na	he went to
Emhin na	she went to
Emhin na	it went to
Emhin nan’	he went to
Emhin nan’	she went to
Emhin nan’	it went to
Na mhan emhíner?	where did they go?
Na mhan emhíner?	to where did they go?
Emhíner na	they went to
Emhíner nan’	they went to
Na mhan nidhig mened?	where do you intend to go?
Na mhan nidhig mened?	to where do you intend to go?
Nidhin mened na	I intend to go to
Na mhan nidhidh mened?	where do you intend to go?
Na mhan nidhidh mened?	to where do you intend to go?
Nidhimh mened na	we intend to go to
Nidhimh mened nan’	we intend to go to
Ne man menathanc?	when will the two of us leave?
Ne man menathanc?	when will we leave?
Ne man menathanc?	during when do we leave?
Menathanc ned	you and I will leave
Menathanc ned	we will leave
Ne man menathab?	when will we leave?
Ne man menathab?	when will we go?
Ne man menathab?	during when do we leave?
Ne man menathab?	during when do we go?
Menathab ned	we will leave
Ne man menathomh?	when will we leave?
Ne man menathomh?	during when do we leave?
Menathodh ned	you will leave
Ne man menig?	when will you leave?
Ne man menig?	when do you leave?
Ne man menig?	during when do you leave?
Menin ned	I am going
Menin ned	I go
Ne man menidh?	when will you leave?
Ne man menidh?	when do you leave?
Ne man menidh?	during when do you leave?
Menimh ned	we are going
Menimh ned	we go
Ne man menin?	when will I leave?
Ne man menin?	during when do I leave?
Menig ned	you are going
Menig ned	you go
Ne man meninc?	when do the two of us leave?
Ne man meninc?	when do we leave?
Ne man meninc?	during when do we leave?
Meninc ned	you and I are going
Meninc ned	we go
Meninc ned	we are going
Ne man menib?	when do we leave?
Ne man menib?	when do we go?
Ne man menib?	during when do we leave?
Ne man menib?	during when do we go?
Menib ned	we are going
Menib ned	we go
Ne man menimh?	when do we leave?
Ne man menimh?	during when do we leave?
Menidh ned	you are going
Menidh ned	you go
Ne man mên?	when will he leave?
Ne man mên?	when will she leave?
Ne man mên?	when will it leave?
Ne man mên?	when does he leave?
Ne man mên?	when does she leave?
Ne man mên?	when does it leave?
Ne man mên?	during when does he leave?
Ne man mên?	during when does she leave?
Ne man mên?	during when does it leave?
Mên ned	he is going during
Mên ned	she is going during
Mên ned	it is going during
Mên ned	he goes during
Mên ned	she goes during
Mên ned	it goes during
Ne man menir?	when will they leave?
Ne man menir?	when do they leave?
Ne man menir?	during when do they leave?
Ne man menir?	during when will they leave?
Menir ned	they are going during
Menir ned	they go during
Meno na	go to
Meno nan’	go to
Tolathog?	would you please come?
Tolathog?	are you willing to come?
Avon toled	I will not come
Avon toled	I refuse to come
Tolathon	I will come
Tolathon	I am willing to come
Tolathodh?	would you please come?
Tolathodh?	are you willing to come?
Avomh toled	we will not come
Avomh toled	we refuse to come
Tolathomh	we will come
Tolathomh	we are willing to come
Tolathanc?	shall you and I come?
Tolathanc?	shall we come?
Tolathanc?	are we willing to come?
Tolathanc?	are you and I willing to come?
Avanc toled	you and I will not come
Avanc toled	we will not come
Avanc toled	we refuse to come
Tolathanc	you and I will come
Tolathanc	we will come
Tolathanc	we are willing to come
Tolathab?	shall we come?
Tolathab?	are we willing to come?
Avab toled	we will not come
Avab toled	we refuse to come
Tolathab	we will come
Tolathab	we are willing to come
Telin	I am coming
Tolo a nin	come with me
Tolo annin	come to me
Tolo hí	come here
Tolo na	come to
Tolo nan’	come to
Amman odúleg hi?	why are you here?
Amman odúleg hi?	for what did you come here?
Amman odúledh hi?	why are you here?
Amman odúledh hi?	for what did you come here?
O mhan telig?	where are you from?
O mhan telig?	from where are you coming?
Telin o	I am from
Telin o	I am coming from
Telin od	I am from
Telin od	I am coming from
O mhan telidh?	where are you from?
O mhan telidh?	from where are you coming?
Telimh o	we are from
Telimh o	we are coming from
Telimh od	we are from
Telimh od	we are coming from
O mhan odúleg?	where were you from?
O mhan odúleg?	from where did you come?
Odúlen o	I came from
Odúlen od	I came from
O mhan odúledh?	where were you from?
O mhan odúledh?	from where did you come?
Odúlemh o	we came from
Odúlemh od	we came from
Ni faug	I am thirsty
Ni lôm	I am tired
Ni lôm	I am weary
Tolo a phosto	come and rest
Tolo, mado, a sogo e-mereth	come, eat, and drink of the feast
Uhunc ylmh ú-nedui	he had too many cups of drink
Uhunc ylmh ú-nedui	she had too many cups of drink
Uhunc ylmh ú-nedui	it had too many cups of drink
Uhunc ylmh ú-nedui	he drank uncountable cups of drink
Uhunc ylmh ú-nedui	she drank uncountable cups of drink
Uhunc ylmh ú-nedui	it drank uncountable cups of drink
uhunc ylmh ú-nedui	had too many cups of drink
uhunc ylmh ú-nedui	drank uncountable cups of drink
Anírog mhann?	do you want food?
Law aníron mhann	I do not want food
Aníron mhann	I want food
Anírodh mhann?	do  you want food?
Law aníromh mhann	we do not want food
Aníromh mhann	we want food
Anírog aes?	do you want meat?
Anírol aes?	do you want meat?
Law aníron aes	I do not want meat
Aníron aes	I want meat
Anírodh aes?	do you want meat?
Law aníromh aes	we do not want meat
Aníromh aes	we want meat
Anírog chaust?	do you want a bed?
Anírol chaust?	do you want a bed?
Law aníron chaust	I do not want a bed
Aníron chaust	I want a bed
Anírodh chaust?	do you want a bed?
Law aníromh chaust	we do not want a bed
Aníromh chaust	we want a bed
Anírog halph?	do you want broth?
Anírol halph?	do you want broth?
Law aníron halph	I do not want broth
Aníron halph	I want broth
Anírodh halph?	do you want broth?
Law aníromh halph	we do not want broth
Aníromh halph	we want broth
Anírog haw?	do you want juice?
Anírol haw?	do you want juice?
Law aníron haw	I do not want juice
Aníron haw	I want juice
Anírodh haw?	do you want juice?
Law aníromh haw	we do not want juice
Aníromh haw	we want juice
Anírog masgorn?	do you want a breadloaf?
Anírol masgorn?	do you want a breadloaf?
Law aníron masgorn	I do not want a breadloaf
Aníron masgorn	I want a breadloaf
Anírodh masgorn?	do you want a breadloaf?
Law aníromh masgorn	we do not want a breadloaf
Aníromh masgorn	we want a breadloaf
Anírog mass?	do you want bread?
Anírol mass?	do you want bread?
Law aníron mass	I do not want bread
Aníron mass	I want bread
Anírodh mass?	do you want bread?
Law aníromh mass	we do not want bread
Aníromh mass	we want bread
Anírog nên?	do you want water?
Anírol nên?	do you want water?
Law aníron nên	I do not want water
Aníron nên	I want water
Anírodh nên?	do you want water?
Law aníromh nên	we do not want water
Aníromh nên	we want water
Go-mhaethathab ne ndagor?	will you join me in battle?
Go-mhaethathab ne ndagor?	will we fight together in battle?
Go-mhaethathab ne ndagor?	shall we fight together in battle?
Go-mhaethathanc ne ndagor?	will you join me in battle?
Go-mhaethathanc ne ndagor?	will we fight together in battle?
Go-mhaethathanc ne ndagor?	shall we fight together in battle?
Go-mhaethathab ned auth?	will you join me in war?
Go-mhaethathab ned auth?	will we fight together in war?
Go-mhaethathab ned auth?	shall we fight together in war?
Go-mhaethathanc ned auth?	will you join me in war?
Go-mhaethathanc ned auth?	will we fight together in war?
Go-mhaethathanc ned auth?	shall we fight togeter in war?
Iston i vellas dhîn ne ndagor	I know your strength in battle
Iston i vellas dhîn ne ndagor	I know your physical strength in battle
De mhaethor mhaen e-beng	you are a skillfull bowman
De mhaethor mhaen e-beng	you are a skilled warrior of the bow
De mhaethor veleg	you are a mighty warrior
De mhaethor veleg	you are a great warrior
Avo dheo annin	do not fail me
Avo dheo annin	do not fail for me
Mhe thorthodh	we are yours to command
Mhe thorthodh	you control us
Telir yrch!	orcs are coming!
Telir yrch!	orcs come!
Tôl auth	war is coming
Tôl auth	war comes
Trastad?	is there trouble?
Trastad?	trouble?
Gurth ani chyth ‘wîn	death to our enemies
Gurth anin yrch	death to the orcs
I philinn ‘wîn gwathrar Anor	our arrows blot out the sun
I philinn ‘wîn gwathrar Anor	our arrows obscure the sun
I beng nîn linna ah i mhagol dhîn	my bow shall sing with your sword
I chethyl ‘wîn hastar in echaid i-chyth ‘wîn	our axes cleave our foes' necks
I chethyl ‘wîn hastar in echaid i-chyth ‘wîn	our axes hack through the necks of our foes
I christ ‘wîn ristar i thaind i-chyth ‘wîn	our swords cleave our foes' shields
I christ ‘wîn ristar i thaind i-chyth ‘wîn	our swords cleave the shields of our foes
I chyth ‘wîn dregar o gwen sui fuin drega od Anor	our foes flee like the darkness from the sun
I chyth ‘wîn dregar o gwen sui fuin drega od Anor	our enemies flee from us like darkness flees from the sun
In aich i-chyth ‘wîn sílar nu Anor	the bones of our foes gleam under the sun
In aich i-chyth ‘wîn sílar nu Anor	the bones of our enemies shine white under the sun
Nidhib di ndaged ne ndagor	we will defeat them in battle
Nidhib di ndaged ne ndagor	we intend to slay them in battle
Nidhinc di ndaged ne ndagor	you and I will defeat them in battle
Nidhinc di ndaged ne ndagor	we will defeat them in battle
Nidhinc di ndaged ne ndagor	we intend to slay them in battle
Nidhinc di ndaged ne ndagor	you and I will slay them in battle
Samho chûr an dagor	be ready for battle
Samho chûr an dagor	have readiness for battle
Gadas!	it is a trap!
Gadas!	a trap!
Gadas!	trap!
Avo nago den	do not kill him
Avo nago den	do not kill her
Avo nago den	do not kill it
Avo nago nin	do not kill me
Dago den	kill him
Dago den	kill her
Dago den	kill it
Dago din	kill them
Dago i chyth	kill the enemies
Dago i chyth	slay the enemies
Dago i dorog	kill the troll
Dago i dorog	slay the troll
Dago i goth	kill the enemy
Dago i goth	slay the enemy
Dago i orch	kill the orc
Dago i orch	slay the orc
Dago i theryg	kill the trolls
Dago i theryg	slay the trolls
Dago in yrch	kill the orcs
Dago in yrch	slay the orcs
Dago nin	kill me
Daro a maetho	stay and fight
Daro a maetho	remain and fight
Daro a maetho	stop and fight
Daro a maetho	halt and fight
Delio!	hide!
Delio!	conceal!
Drego	flee
Gwedho den	tie him up
Gwedho den	tie her up
Gwedho den	tie it up
Gwedho den	bind him
Gwedho den	bind her
Gwedho den	bind it
Gwedho din	tie them up
Gwedho din	bind them
Leithio i philinn	loose the arrows
Leithio i philinn	release the arrows
Maetho i megil dhîn	draw your swords
Maetho i megil dhîn	wield your swords
Maetho na lû n’i maethorath denchin	fight to the last man
Maetho na lû n’i maethorath denchin	fight to the time when all warriors are slain
No dirweg	be careful
No dirweg	be watchful
No guin i phing dhîn!	get ready to shoot!
No guin i phing dhîn!	bend your bows!
Noro	run
Noro lim	run fast
Northo	charge
Northo	charge your horses at them
Os-mheno adel din	go around them
Os-mheno adel din	go around behind them
Devig?	do you yield?
Devin	I yield
Devidh?	do you yield?
Devimh	we yield
Mhe meriathog?	would you please protect us?
Mhe meriathog?	are you willing to protect us?
Natho!	help!
Natho!	save us!
Natho!	rescue us!
Natho!	bring help!
Pi law di chirib ned aduial, ti gwand	if we do not find them before nightfall, they are dead
Pi law di chirib ned aduial, ti gwand	if we do not find them during the evening twilight, they are dead
Delu i mhen hen	this road is dangerous
Delu i mhen hen	this road is fell
Te harn	he is hurt
Te harn	she is hurt
Te harn	it is hurt
Te harn	she is wounded
Te harn	he is wounded
Te harn	it is wounded
Ti hern	they are hurt
Ti hern	they are wounded
harn	is hurt
harn	is wounded
danthas mi eithel	fell in as well
I goth ant	the enemy has locked
I goth ant	the enemy incarcerated
mi ‘ador	in the dungeon
I goth den ant mi ‘ador	the enemy has locked him in the dungeon
